"job_id","company_name","job_title","salary_year_avg","skill_id","skill_name"
552322,"AT&T","Associate Director- Data Insights","255829.5",0,"sql"
552322,"AT&T","Associate Director- Data Insights","255829.5",1,"python"
552322,"AT&T","Associate Director- Data Insights","255829.5",5,"r"
552322,"AT&T","Associate Director- Data Insights","255829.5",74,"azure"
552322,"AT&T","Associate Director- Data Insights","255829.5",75,"databricks"
552322,"AT&T","Associate Director- Data Insights","255829.5",76,"aws"
552322,"AT&T","Associate Director- Data Insights","255829.5",93,"pandas"
552322,"AT&T","Associate Director- Data Insights","255829.5",95,"pyspark"
552322,"AT&T","Associate Director- Data Insights","255829.5",102,"jupyter"
552322,"AT&T","Associate Director- Data Insights","255829.5",181,"excel"
552322,"AT&T","Associate Director- Data Insights","255829.5",182,"tableau"
552322,"AT&T","Associate Director- Data Insights","255829.5",183,"power bi"
552322,"AT&T","Associate Director- Data Insights","255829.5",196,"powerpoint"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0",0,"sql"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0",1,"python"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0",5,"r"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0",97,"hadoop"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0",182,"tableau"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0",0,"sql"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0",23,"crystal"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0",79,"oracle"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0",182,"tableau"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0",215,"flow"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",0,"sql"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",1,"python"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",8,"go"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",80,"snowflake"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",93,"pandas"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",94,"numpy"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",181,"excel"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",182,"tableau"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0",220,"gitlab"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",0,"sql"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",1,"python"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",74,"azure"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",76,"aws"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",79,"oracle"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",80,"snowflake"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",182,"tableau"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",183,"power bi"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",189,"sap"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",211,"jenkins"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",218,"bitbucket"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",219,"atlassian"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",233,"jira"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0",234,"confluence"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",0,"sql"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",1,"python"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",5,"r"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",210,"git"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",218,"bitbucket"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",219,"atlassian"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",233,"jira"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0",234,"confluence"
1749593,"SmartAsset","Principal Data Analyst","186000.0",0,"sql"
1749593,"SmartAsset","Principal Data Analyst","186000.0",1,"python"
1749593,"SmartAsset","Principal Data Analyst","186000.0",8,"go"
1749593,"SmartAsset","Principal Data Analyst","186000.0",80,"snowflake"
1749593,"SmartAsset","Principal Data Analyst","186000.0",93,"pandas"
1749593,"SmartAsset","Principal Data Analyst","186000.0",94,"numpy"
1749593,"SmartAsset","Principal Data Analyst","186000.0",181,"excel"
1749593,"SmartAsset","Principal Data Analyst","186000.0",182,"tableau"
1749593,"SmartAsset","Principal Data Analyst","186000.0",220,"gitlab"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0",0,"sql"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0",1,"python"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0",5,"r"
